jobId,jobType,completionTime,cpuUtil
0,RJ,17.137,0.000
1,RJ,42.124,0.996
2,RJ,17.137,0.000
3,RJ,17.137,0.000
4,SHJ,42.685,0.983
5,RJ,42.117,0.996
6,RJ,17.148,0.000
7,SHJ,61.529,0.731
8,RJ,51.158,1.000
9,RJ,25.157,0.000
10,RJ,17.819,0.000
11,RJ,17.109,0.000
12,RJ,20.549,0.000
13,RJ,43.138,1.000
14,RJ,57.441,0.815
15,RJ,47.819,0.999
16,RJ,20.735,0.000
17,RJ,48.393,1.000
18,RJ,17.013,0.000
19,RJ,57.338,0.815
20,RJ,51.630,0.996
21,RJ,49.273,1.000
22,RJ,45.297,1.000
23,RJ,42.174,1.000
24,RJ,42.163,1.000
25,RJ,42.173,1.000
26,RJ,42.163,1.000
27,RJ,17.137,0.000
28,RJ,42.014,1.000
29,RJ,42.138,1.000
30,RJ,58.344,0.814
31,RJ,98.850,0.814
32,RJ,92.850,0.814
33,RJ,42.274,1.000
34,SHJ,183.556,0.743
35,RJ,25.405,0.000
36,RJ,19.287,0.000
37,RJ,48.748,0.999
38,RJ,21.564,0.000
39,RJ,17.627,0.000
40,RJ,17.355,0.000
41,RJ,44.505,0.997
42,RJ,22.583,0.000
43,RJ,17.707,0.000
44,RJ,49.718,1.000
45,SHJ,44.481,0.978
46,RJ,42.960,1.000
47,RJ,49.005,0.999
48,RJ,42.730,1.000
49,RJ,42.404,0.998
50,RJ,22.994,0.000
51,RJ,50.447,0.000
52,RJ,19.345,0.000
53,RJ,19.345,0.000
54,RJ,481.258,0.960
55,RJ,19.160,0.000
56,RJ,24.387,0.000
57,RJ,42.751,1.000
58,RJ,44.540,1.000
59,RJ,42.296,1.000
60,RJ,47.164,1.000
61,RJ,21.514,0.000
62,RJ,20.009,0.000
63,RJ,72.641,0.000
64,RJ,94.702,0.996
65,RJ,47.969,0.000
66,RJ,20.959,0.000
67,RJ,55.424,1.000
68,RJ,23.093,0.000
69,RJ,23.577,0.000
70,RJ,46.431,1.000
71,RJ,19.213,0.000
72,RJ,17.227,0.000
73,SHJ,83.045,0.918
74,RJ,42.780,1.000
75,RJ,61.855,0.000
76,RJ,45.492,0.999
77,RJ,18.435,0.000
