jobId,numMaps,numReduces
job0,1,0
job1,1,1
job2,1,0
job3,1,0
job4,155,20
job5,1,1
job6,4,0
job7,1535,192
job8,1,1
job9,1,0
job10,1,0
job11,1,0
job12,1,0
job13,1,1
job14,1327,166
job15,216,27
job16,17,0
job17,1,1
job18,1,0
job19,1327,166
job20,7,1
job21,6,1
job22,6,1
job23,6,1
job24,6,1
job25,6,1
job26,6,1
job27,1,0
job28,1,1
job29,1,1
job30,1327,166
job31,1327,166
job32,1327,166
job33,1,1
job34,5228,654
job35,1,0
job36,1,0
job37,216,27
job38,3,0
job39,58,0
job40,1,0
job41,1,1
job42,1,0
job43,1,0
job44,1,1
job45,219,28
job46,1,1
job47,16,2
job48,1,1
job49,216,27
job50,1,0
job51,1393,0
job52,1,0
job53,1,0
job54,2443,306
job55,2,0
job56,49,0
job57,1,1
job58,1,1
job59,1,1
job60,1,1
job61,7,0
job62,1,0
job63,119,0
job64,74,10
job65,3,0
job66,1,0
job67,1,1
job68,1,0
job69,2,0
job70,1,1
job71,1,0
job72,1,0
job73,869,109
job74,1,1
job75,1393,0
job76,1,1
job77,1,0
